rank,site,page,position,impressions,clicks,expected_ctr,potential_clicks,click_gap,priority,notes
1,deadhangs.com,https://deadhangs.com/dead-hang-time-by-age/,6.94,21641,330,0.03,319.23,-10.77,P1,
2,deadhangs.com,https://deadhangs.com/dead-hang-world-record/,8.23,11491,77,0.03,267.73,190.73,P1,SERP-feature suspicion (AIO/PAA/snippet eating clicks)
3,nomadranker.com,https://nomadranker.com/cities/cusco/cost-of-living/,7.9,5799,0,0.03,173.97,173.97,P1,SERP-feature suspicion (AIO/PAA/snippet eating clicks)
4,rentalyield.uk,https://rentalyield.uk/council/bromsgrove/,6.73,5106,0,0.03,153.18,153.18,P1,SERP-feature suspicion (AIO/PAA/snippet eating clicks)
5,waterhard.uk,https://waterhard.uk/water-company/thames-water/,6.16,5060,19,0.03,132.8,113.8,P1,SERP-feature suspicion (AIO/PAA/snippet eating clicks)
6,waterhard.uk,https://waterhard.uk/region/london/,7.5,3497,28,0.03,76.91,48.91,P1,
7,waterhard.uk,https://waterhard.uk/water-company/affinity-water/,6.94,1694,4,0.03,46.82,42.82,P1,SERP-feature suspicion (AIO/PAA/snippet eating clicks)
8,sunnypatel.co.uk,https://sunnypatel.co.uk/blog/local-seo-statistics/,9.73,1625,3,0.03,45.75,42.75,P1,SERP-feature suspicion (AIO/PAA/snippet eating clicks)
9,deadhangs.com,https://deadhangs.com/dead-hang-time-by-age/#percentile-chart,7.48,1327,0,0.03,39.81,39.81,P1,"anchor-fragment (consolidate, not own title)"
10,deadhangs.com,https://deadhangs.com/dead-hang-time-by-age/#average-times,7.5,1274,0,0.03,38.22,38.22,P1,"anchor-fragment (consolidate, not own title)"
11,waterhard.uk,https://waterhard.uk/water-company/severn-trent/,7.43,1538,8,0.03,38.14,30.14,P1,SERP-feature suspicion (AIO/PAA/snippet eating clicks)
12,deadhangs.com,https://deadhangs.com/dead-hang-time-by-age/#male-standards,7.55,1226,0,0.03,36.78,36.78,P1,"anchor-fragment (consolidate, not own title)"
13,waterhard.uk,https://waterhard.uk/water-company/united-utilities/,7.83,1383,6,0.03,35.49,29.49,P1,SERP-feature suspicion (AIO/PAA/snippet eating clicks)
14,waterhard.uk,https://waterhard.uk/water-company/yorkshire-water/,7.9,1399,9,0.03,32.97,23.97,P1,SERP-feature suspicion (AIO/PAA/snippet eating clicks)
15,waterhard.uk,https://waterhard.uk/water-company/welsh-water/,6.15,1251,9,0.03,28.53,19.53,P1,SERP-feature suspicion (AIO/PAA/snippet eating clicks)
16,waterhard.uk,https://waterhard.uk/region/wales/,6.71,983,2,0.03,27.49,25.49,P1,SERP-feature suspicion (AIO/PAA/snippet eating clicks)
17,deadhangs.com,https://deadhangs.com/dead-hang-time-by-age/#female-standards,7.84,909,0,0.03,27.27,27.27,P1,"anchor-fragment (consolidate, not own title)"
18,rentalyield.uk,https://rentalyield.uk/buy-to-let/sunderland/,4.48,387,0,0.07,27.09,27.09,P1,SERP-feature suspicion (AIO/PAA/snippet eating clicks)
19,rentalyield.uk,https://rentalyield.uk/buy-to-let/manchester/,7.37,864,0,0.03,25.92,25.92,P1,SERP-feature suspicion (AIO/PAA/snippet eating clicks)
20,bestvibrationplates.co.uk,https://bestvibrationplates.co.uk/can-cause-diarrhea/,7.93,1312,14,0.03,25.36,11.36,P1,
